"Year","Month","Downtown.Passengers","Midtown.Passengers","Downtown.Passengers.Freq","Midtown.Passengers.Freq"
2012,12,1.17672313333818e-09,1.46714446830718e-09,350,440
2012,11,2.32153417525831e-09,2.24102902584969e-09,470,610
2012,10,4.35304907247937e-09,3.35909199514125e-09,350,310
2012,9,7.87872605106534e-09,4.94315824220643e-09,340,300
2012,8,1.37347843176143e-08,7.16772657251595e-09,400,420
2012,7,2.29374307948156e-08,1.02127417955459e-08,380,380
2012,6,3.72064853651392e-08,1.42941158608393e-08,380,370
2012,5,5.80980863472395e-08,1.96645961938854e-08,370,380
2012,4,8.75995881867801e-08,2.66060540833719e-08,350,390
2012,3,1.28357884655069e-07,3.54240805708788e-08,370,310
2012,2,1.81861663027957e-07,4.6517269535577e-08,340,240
2012,1,2.50412771565895e-07,6.01722126293569e-08,340,260
2011,12,3.35537978027488e-07,7.6702024316588e-08,330,370
2011,11,4.37718888128077e-07,9.64181616593038e-08,350,330
2011,10,5.58737687708706e-07,1.19609074173153e-07,370,330
2011,9,6.98731990819373e-07,1.46532583905034e-07,380,320
2011,8,8.59064586460782e-07,1.77543273795317e-07,390,360
2011,7,1.04328618967163e-06,2.12714428077246e-07,380,370
2011,6,1.25352024604284e-06,2.52167432019607e-07,410,360
2011,5,1.49466730835148e-06,2.95997525884975e-07,370,340
2011,4,1.77060644301006e-06,3.44260550890673e-07,350,330
2011,3,2.08173933846173e-06,3.96976058061003e-07,380,300
2011,2,2.42790966371453e-06,4.54281684490837e-07,330,220
2011,1,2.80111421056243e-06,5.15997887579713e-07,330,240
2010,12,3.18987453584554e-06,5.8206739778639e-07,330,310
2010,11,3.57850064933228e-06,6.52448670885187e-07,350,300
2010,10,3.94962004640048e-06,7.271310831407e-07,360,310
2010,9,4.28628021108253e-06,8.06166465575605e-07,370,300
2010,8,4.57513523258085e-06,8.89877806679589e-07,390,370
2010,7,4.81145031107493e-06,9.78423761528124e-07,390,360
2010,6,4.99268093559691e-06,1.07230778098132e-06,390,360
2010,5,5.12648922286498e-06,1.17226466432016e-06,340,310
2010,4,5.22225666703428e-06,1.27928434320627e-06,360,380
2010,3,5.28742680654204e-06,1.39463094263705e-06,370,290
2010,2,5.32980807707617e-06,1.52017559553608e-06,310,190
2010,1,5.34967743596696e-06,1.65730751362682e-06,330,240
2009,12,5.34225533027149e-06,1.80778243532945e-06,330,310
2009,11,5.30086945426046e-06,1.97330012338789e-06,330,290
2009,10,5.2150442405566e-06,2.15534464399126e-06,360,310
2009,9,5.08015531679253e-06,2.35506569243231e-06,360,320
2009,8,4.89655502682326e-06,2.57351570614588e-06,350,360
2009,7,4.66763895219665e-06,2.80982702315892e-06,380,400
2009,6,4.40785101284674e-06,3.06285146501256e-06,370,360
2009,5,4.13126447793489e-06,3.33052295848852e-06,330,310
2009,4,3.85309968735747e-06,3.60987496572138e-06,340,410
2009,3,3.58519019384903e-06,3.89715491987997e-06,340,280
2009,2,3.33508850581786e-06,4.18787229071375e-06,320,220
2009,1,3.10374264396137e-06,4.47699236537804e-06,340,260
2008,12,2.8876377824142e-06,4.75965286616751e-06,350,480
2008,11,2.6814876406433e-06,5.0312315034133e-06,340,320
2008,10,2.47838842913011e-06,5.28762912533489e-06,420,420
2008,9,2.27377732289693e-06,5.5253624299838e-06,400,370
2008,8,2.06550934725951e-06,5.74146954190484e-06,400,520
2008,7,1.85453979469892e-06,5.93515029008372e-06,430,590
2008,6,1.64391798704806e-06,6.10600148686622e-06,410,490
2008,5,1.43799861998361e-06,6.25445113094463e-06,380,410
2008,4,1.24095616087476e-06,6.38157844849946e-06,400,430
2008,3,1.05739005983001e-06,6.48874613352232e-06,370,490
2008,2,8.89214343997943e-07,6.57740570508427e-06,360,280
2008,1,7.38323419473636e-07,6.64981521550474e-06,390,350
2007,12,6.06021193509654e-07,6.70750519858015e-06,340,570
