"date","subject_to_limit","ceiling","dist_to_ceiling","rate","change","deposits","withdrawals","z_change","error","balance","rate"
2005-08-05,7821225,8184000,362775,3.49,-1652,6404,8056,-0.188613924172578,4623.85714339659,9553,3.49
2005-08-08,7824043,8184000,359957,3.5,3362,9867,6505,0.339405217241702,4060.48494748228,12915,3.5
2005-08-09,7825122,8184000,358878,3.47,-3063,3928,6991,-0.323895910930302,4341.59759592257,9852,3.47
2005-08-10,7821713,8184000,362287,3.48,-1624,9204,10829,-0.148896274686604,4235.82643498309,8228,3.48
2005-08-11,7824323,8184000,359677,3.51,-1588,68533,70121,-0.0673647664853975,4617.97445049199,6640,3.51
2005-08-12,7823599,8184000,360401,3.55,-946,8009,8955,0.0064822911304018,4415.02839220409,5694,3.55
2005-08-15,7852219,8184000,331781,3.61,2891,63613,60722,0.496509096676241,4213.29060961989,8585,3.61
2005-08-16,7857784,8184000,326216,3.46,4296,11030,6734,0.685282093929498,3871.78552663829,12881,3.46
2005-08-17,7857792,8184000,326208,3.57,-570,9482,10052,0.0930905968103461,4029.55703451936,12311,3.57
2005-08-18,7866527,8184000,317473,3.5,2129,72357,70228,0.449911491477488,3996.80128888805,14440,3.5
2005-08-19,7866998,8184000,317002,3.54,1841,8702,6861,0.369856242396215,4022.02015921242,16281,3.54
2005-08-22,7867914,8184000,316086,3.51,4171,9819,5648,0.689722973720586,4434.90281304011,20452,3.51
2005-08-23,7873589,8184000,310411,3.49,-2647,3291,5938,-0.270814468791492,3907.52920187323,17805,3.49
2005-08-24,7870988,8184000,313012,3.5,-3436,7621,11057,-0.383610135435244,4274.31269096667,14369,3.5
2005-08-25,7873400,8184000,310600,3.55,-540,70599,71139,0.0602893211656038,4189.67522967577,13829,3.55
2005-08-26,7872969,8184000,311031,3.54,-2689,5984,8674,-0.347435988847734,4473.63882570522,11140,3.54
2005-08-29,7871565,8184000,312435,3.54,3517,11013,7497,0.683180764318252,4615.50706315135,14657,3.54
2005-08-30,7871193,8184000,312807,3.52,-4232,3446,7678,-0.835670730948141,4401.56339351632,10425,3.52
2005-08-31,7868395,8184000,315605,3.63,-1860,36934,38794,-0.368946071737686,3892.35923673262,8565,3.63
2005-09-01,7868454,8184000,315546,3.57,-2237,94613,96850,-0.444383157382096,4588.34388423536,6328,3.57
2005-09-02,7879319,8184000,304681,3.49,900,27824,26924,0.173995283701773,4800.03435925203,7228,3.49
2005-09-06,7881521,8184000,302479,3.57,826,9812,8986,0.164623029113925,4081.07227817427,8054,3.57
2005-09-07,7886918,8184000,297082,3.48,-2143,6921,9064,-0.418507798800444,4416.8624836196,5911,3.48
2005-09-08,7888666,8184000,295334,3.49,4178,78921,74742,0.805143687141418,4295.9797060648,10089,3.49
2005-09-09,7889293,8184000,294707,3.49,-2988,6629,9617,-0.579481737528067,5039.38103050711,7101,3.49
2005-09-12,7889178,8184000,294822,3.5,3613,11087,7474,0.743871723682293,4118.89420319858,10714,3.5
2005-09-13,7893418,8184000,290582,3.45,487,7933,7445,0.164211224090077,3803.12669475383,11201,3.45
2005-09-14,7882113,8184000,301887,3.54,-3425,14777,18202,-0.654478891349316,4114.40622603762,7776,3.54
2005-09-15,7856793,8184000,327207,3.67,32827,150290,117463,4.55750871744564,4600.23649564596,40603,3.67
2005-09-16,7858868,8184000,325132,3.62,8622,15202,6580,1.12077544053488,4586.60518992577,49225,3.62
2005-09-19,7864170,8184000,319830,3.62,6724,13173,6449,0.831411458331003,4297.58330861014,55949,3.62
2005-09-20,7868850,8184000,315150,3.67,14660,20900,6241,1.81479168836677,3721.072566404,70609,3.67
2005-09-21,7867516,8184000,316484,3.72,2316,13416,11100,0.162734857528256,4056.896578667,72925,3.72
2005-09-22,7859876,8184000,324124,3.77,-12832,62420,75251,-1.74751791385878,3970.76585502052,60093,3.77
2005-09-23,7859543,8184000,324457,3.76,790,9282,8492,0.00873887402209318,3908.29451894626,60883,3.76
2005-09-26,7861188,8184000,322812,3.83,2680,10840,8161,0.2754025772672,4418.96629440768,63563,3.83
2005-09-27,7865540,8184000,318460,3.73,-3078,4777,7855,-0.533883659978582,4630.15341401358,60485,3.73
2005-09-28,7861083,8184000,322917,3.76,-2943,8779,11722,-0.505211511528999,3995.77860104529,57542,3.76
2005-09-29,7852742,8184000,331258,3.82,-7273,66508,73780,-1.2136874410408,4276.86275503398,50269,3.82
2005-09-30,7871040,8184000,312960,3.93,-14590,36966,51556,-2.0899917082557,4306.71565245619,35679,3.93
2005-10-03,7909115,8184000,274885,3.87,-20937,20336,41273,-2.62428345158513,4238.91698760164,14742,3.87
2005-10-04,7916643,8184000,267357,3.75,-5212,4405,9617,-0.636662729781548,3938.31806014409,9530,3.75
2005-10-05,7917717,8184000,266283,3.75,2091,10092,8001,0.254388237289935,3953.61518739495,11621,3.75
2005-10-06,7932417,8184000,251583,3.76,7495,73419,65924,0.888830806360539,4169.49834246013,19116,3.76
2005-10-07,7928868,8184000,255132,3.73,-3929,6238,10167,-0.50840838586492,4823.75987583156,15187,3.73
2005-10-11,7929695,8184000,254305,3.72,211,10913,10702,-0.00387913183395934,3960.37666638952,15398,3.72
2005-10-12,7929299,8184000,254701,3.36,-7623,5390,13013,-0.924040459225359,4183.30694888284,7775,3.36
2005-10-13,7933506,8184000,250494,3.75,2190,67696,65506,0.275758086257238,4223.48530263659,9965,3.75
2005-10-14,7924811,8184000,259189,3.77,-781,8878,9659,-0.0856424656756234,4523.89309551879,9184,3.77
2005-10-17,7935062,8184000,248938,3.82,20149,43491,23341,2.24641658906885,4058.17730451993,29333,3.82
2005-10-18,7942391,8184000,241609,3.71,-2190,5146,7336,-0.279420554970024,4621.68088667467,27143,3.71
