date,subject_to_limit,ceiling,dist_to_ceiling,rate,change,deposits,withdrawals,z_change
8/5/05,7821225,8184000,362775,3.49,-1652,6404,8056,-0.188613924
8/8/05,7824043,8184000,359957,3.5,3362,9867,6505,0.339405217
8/9/05,7825122,8184000,358878,3.47,-3063,3928,6991,-0.323895911
8/10/05,7821713,8184000,362287,3.48,-1624,9204,10829,-0.148896275
8/11/05,7824323,8184000,359677,3.51,-1588,68533,70121,-0.067364766
8/12/05,7823599,8184000,360401,3.55,-946,8009,8955,0.006482291
8/15/05,7852219,8184000,331781,3.61,2891,63613,60722,0.496509097
8/16/05,7857784,8184000,326216,3.46,4296,11030,6734,0.685282094
8/17/05,7857792,8184000,326208,3.57,-570,9482,10052,0.093090597
8/18/05,7866527,8184000,317473,3.5,2129,72357,70228,0.449911491
8/19/05,7866998,8184000,317002,3.54,1841,8702,6861,0.369856242
8/22/05,7867914,8184000,316086,3.51,4171,9819,5648,0.689722974
8/23/05,7873589,8184000,310411,3.49,-2647,3291,5938,-0.270814469
8/24/05,7870988,8184000,313012,3.5,-3436,7621,11057,-0.383610135
8/25/05,7873400,8184000,310600,3.55,-540,70599,71139,0.060289321
8/26/05,7872969,8184000,311031,3.54,-2689,5984,8674,-0.347435989
8/29/05,7871565,8184000,312435,3.54,3517,11013,7497,0.683180764
8/30/05,7871193,8184000,312807,3.52,-4232,3446,7678,-0.835670731
8/31/05,7868395,8184000,315605,3.63,-1860,36934,38794,-0.368946072
9/1/05,7868454,8184000,315546,3.57,-2237,94613,96850,-0.444383157
9/2/05,7879319,8184000,304681,3.49,900,27824,26924,0.173995284
9/6/05,7881521,8184000,302479,3.57,826,9812,8986,0.164623029
9/7/05,7886918,8184000,297082,3.48,-2143,6921,9064,-0.418507799
9/8/05,7888666,8184000,295334,3.49,4178,78921,74742,0.805143687
9/9/05,7889293,8184000,294707,3.49,-2988,6629,9617,-0.579481738
9/12/05,7889178,8184000,294822,3.5,3613,11087,7474,0.743871724
9/13/05,7893418,8184000,290582,3.45,487,7933,7445,0.164211224
9/14/05,7882113,8184000,301887,3.54,-3425,14777,18202,-0.654478891
9/15/05,7856793,8184000,327207,3.67,32827,150290,117463,4.557508717
9/16/05,7858868,8184000,325132,3.62,8622,15202,6580,1.120775441
9/19/05,7864170,8184000,319830,3.62,6724,13173,6449,0.831411458
9/20/05,7868850,8184000,315150,3.67,14660,20900,6241,1.814791688
9/21/05,7867516,8184000,316484,3.72,2316,13416,11100,0.162734858
9/22/05,7859876,8184000,324124,3.77,-12832,62420,75251,-1.747517914
9/23/05,7859543,8184000,324457,3.76,790,9282,8492,0.008738874
9/26/05,7861188,8184000,322812,3.83,2680,10840,8161,0.275402577
9/27/05,7865540,8184000,318460,3.73,-3078,4777,7855,-0.53388366
9/28/05,7861083,8184000,322917,3.76,-2943,8779,11722,-0.505211512
9/29/05,7852742,8184000,331258,3.82,-7273,66508,73780,-1.213687441
9/30/05,7871040,8184000,312960,3.93,-14590,36966,51556,-2.089991708
10/3/05,7909115,8184000,274885,3.87,-20937,20336,41273,-2.624283452
10/4/05,7916643,8184000,267357,3.75,-5212,4405,9617,-0.63666273
10/5/05,7917717,8184000,266283,3.75,2091,10092,8001,0.254388237
10/6/05,7932417,8184000,251583,3.76,7495,73419,65924,0.888830806
10/7/05,7928868,8184000,255132,3.73,-3929,6238,10167,-0.508408386
10/11/05,7929695,8184000,254305,3.72,211,10913,10702,-0.003879132
10/12/05,7929299,8184000,254701,3.36,-7623,5390,13013,-0.924040459
10/13/05,7933506,8184000,250494,3.75,2190,67696,65506,0.275758086
