"date","subject_to_limit","ceiling","dist_to_ceiling","rate","change","deposits","withdrawals","z_change"
2005-08-04,7819862,8184000,364138,3.44,2408,70829,68422,0.248541589407837
2005-08-05,7821225,8184000,362775,3.49,-1652,6404,8056,-0.188613924172578
2005-08-08,7824043,8184000,359957,3.5,3362,9867,6505,0.339405217241702
2005-08-09,7825122,8184000,358878,3.47,-3063,3928,6991,-0.323895910930302
2005-08-10,7821713,8184000,362287,3.48,-1624,9204,10829,-0.148896274686604
2005-08-11,7824323,8184000,359677,3.51,-1588,68533,70121,-0.0673647664853975
2005-08-12,7823599,8184000,360401,3.55,-946,8009,8955,0.0064822911304018
2005-08-15,7852219,8184000,331781,3.61,2891,63613,60722,0.496509096676241
2005-08-16,7857784,8184000,326216,3.46,4296,11030,6734,0.685282093929498
2005-08-17,7857792,8184000,326208,3.57,-570,9482,10052,0.0930905968103461
2005-08-18,7866527,8184000,317473,3.5,2129,72357,70228,0.449911491477488
2005-08-19,7866998,8184000,317002,3.54,1841,8702,6861,0.369856242396215
2005-08-22,7867914,8184000,316086,3.51,4171,9819,5648,0.689722973720586
2005-08-23,7873589,8184000,310411,3.49,-2647,3291,5938,-0.270814468791492
2005-08-24,7870988,8184000,313012,3.5,-3436,7621,11057,-0.383610135435244
2005-08-25,7873400,8184000,310600,3.55,-540,70599,71139,0.0602893211656038
2005-08-26,7872969,8184000,311031,3.54,-2689,5984,8674,-0.347435988847734
2005-08-29,7871565,8184000,312435,3.54,3517,11013,7497,0.683180764318252
2005-08-30,7871193,8184000,312807,3.52,-4232,3446,7678,-0.835670730948141
2005-08-31,7868395,8184000,315605,3.63,-1860,36934,38794,-0.368946071737686
2005-09-01,7868454,8184000,315546,3.57,-2237,94613,96850,-0.444383157382096
2005-09-02,7879319,8184000,304681,3.49,900,27824,26924,0.173995283701773
2005-09-06,7881521,8184000,302479,3.57,826,9812,8986,0.164623029113925
2005-09-07,7886918,8184000,297082,3.48,-2143,6921,9064,-0.418507798800444
2005-09-08,7888666,8184000,295334,3.49,4178,78921,74742,0.805143687141418
2005-09-09,7889293,8184000,294707,3.49,-2988,6629,9617,-0.579481737528067
2005-09-12,7889178,8184000,294822,3.5,3613,11087,7474,0.743871723682293
2005-09-13,7893418,8184000,290582,3.45,487,7933,7445,0.164211224090077
2005-09-14,7882113,8184000,301887,3.54,-3425,14777,18202,-0.654478891349316
2005-09-15,7856793,8184000,327207,3.67,32827,150290,117463,4.55750871744564
2005-09-16,7858868,8184000,325132,3.62,8622,15202,6580,1.12077544053488
2005-09-19,7864170,8184000,319830,3.62,6724,13173,6449,0.831411458331003
2005-09-20,7868850,8184000,315150,3.67,14660,20900,6241,1.81479168836677
2005-09-21,7867516,8184000,316484,3.72,2316,13416,11100,0.162734857528256
2005-09-22,7859876,8184000,324124,3.77,-12832,62420,75251,-1.74751791385878
2005-09-23,7859543,8184000,324457,3.76,790,9282,8492,0.00873887402209318
2005-09-26,7861188,8184000,322812,3.83,2680,10840,8161,0.2754025772672
2005-09-27,7865540,8184000,318460,3.73,-3078,4777,7855,-0.533883659978582
2005-09-28,7861083,8184000,322917,3.76,-2943,8779,11722,-0.505211511528999
2005-09-29,7852742,8184000,331258,3.82,-7273,66508,73780,-1.2136874410408
2005-09-30,7871040,8184000,312960,3.93,-14590,36966,51556,-2.0899917082557
2005-10-03,7909115,8184000,274885,3.87,-20937,20336,41273,-2.62428345158513
