,_case,cartodb_id,case_id,count,county,created_at,datetime,day,disfm,fatal,fault_grap,fulladdres,geojson,hex_id,hex_id2,hit_graphi,hour,hr,injured,latitude_0,lightingco,longitude_0,minute,month,p1,p2,roadsurfac,simpledate,time,updated_at,violationc,year
0,3398949,7359,3398949,54,San Francisco,2013-09-25,10/22/2007 1:33 p.m.,22,40,0,icon-fault,"STOCKTON ST and PACIFIC ST San Francisco, California","{""type"":""Point"",""coordinates"":[-122.40845,37.79671]}",h3,3,icon-hit,13,NO,1,37.7967142,Daylight,-122.4084476,33,10,PEDESTRIAN,BICYCLIST,Dry,20071022,1:33 p.m.,2013-09-26,Pedestrian violation,2007
1,3426418,7518,3426418,21,San Francisco,2013-09-25,10/22/2007 4:38 p.m.,22,3,0,icon-fault,"20TH AV and LINCOLN BL San Francisco, California","{""type"":""Point"",""coordinates"":[-122.47834,37.76536]}",h6,6,icon-hit,16,YES,1,37.7653573,Daylight,-122.4783368,38,10,AUTO,BICYCLIST,Dry,20071022,4:38 p.m.,2013-09-26,Automobile right of way,2007
2,3426446,7519,3426446,21,San Francisco,2013-09-25,10/22/2007 2:01 p.m.,22,105,0,icon-fault,"LAKE ST and 11TH AV San Francisco, California","{""type"":""Point"",""coordinates"":[-122.47006,37.78644]}",h6,6,icon-hit,14,NO,1,37.7864415,Daylight,-122.4700564,1,10,PARKED_AUTO,BICYCLIST,Dry,20071022,2:01 p.m.,2013-09-26,Other hazardous violation,2007
3,3398907,7355,3398907,137,San Francisco,2013-09-25,10/23/2007 10:18 a.m.,23,0,0,icon-fault,"LARKIN ST and OFARRELL ST San Francisco, California","{""type"":""Point"",""coordinates"":[-122.41793,37.78518]}",h1,1,icon-hit,10,YES,0,37.7851838,Daylight,-122.417931,18,10,BICYCLIST,PEDESTRIAN,Dry,20071023,10:18 a.m.,2013-09-26,Unsafe speed,2007
4,3468384,7741,3468384,145,San Francisco,2013-09-25,10/23/2007 1:29 p.m.,23,27,0,icon-fault,"5TH ST and HOWARD ST San Francisco, California","{""type"":""Point"",""coordinates"":[-122.40496,37.78152]}",h1,1,icon-hit,13,NO,1,37.7815157,Daylight,-122.4049555,29,10,BICYCLIST,AUTO,Dry,20071023,1:29 p.m.,2013-09-26,Wrong side of road,2007
5,3437675,7577,3437675,49,San Francisco,2013-09-25,10/20/2007 9:35 p.m.,20,0,0,icon-fault-blank,"LAWTON ST and 7TH ST San Francisco, California","{""type"":""Point"",""coordinates"":[-122.46377,37.75855]}",h4,4,icon-hit-blank,21,NO,1,37.758547,Dark - street lights,-122.4637739,35,10,SOLO_ACCIDENT,BICYCLIST,Dry,20071020,9:35 p.m.,2013-09-26,Unsafe speed,2007
6,3436046,7569,3436046,192,San Francisco,2013-09-25,10/21/2007 4:27 p.m.,21,0,0,icon-fault,"GUERRERO ST and 14TH ST San Francisco, California","{""type"":""Point"",""coordinates"":[-122.4245,37.768]}",h1,1,icon-hit,16,NO,1,37.7680039,Daylight,-122.4244975,27,10,BICYCLIST,AUTO,Dry,20071021,4:27 p.m.,2013-09-26,Improper turning,2007
7,3467848,7734,3467848,22,San Francisco,2013-09-25,10/26/2007 7:00 p.m.,26,0,0,icon-fault,"19TH AV and IRVING ST San Francisco, California","{""type"":""Point"",""coordinates"":[-122.47714,37.76357]}",h6,6,icon-hit,19,NO,1,37.763571,Dark - street lights,-122.4771419,0,10,AUTO,BICYCLIST,Dry,20071026,7:00 p.m.,2013-09-26,Improper turning,2007
8,9009623,5258,9009623,36,San Francisco,2013-09-25,08/28/2006 7:30 a.m.,28,96,0,icon-fault-blank,"20TH ST and VALENCIA ST San Francisco, California","{""type"":""Point"",""coordinates"":[-122.42129,37.7585]}",h2,2,icon-hit-blank,7,NO,1,37.7584974,Daylight,-122.4212866,30,8,NO_FAULT,BICYCLIST,"Slippery (muddyy, oily, etc.)",20060828,7:30 a.m.,2013-09-26,Other than driver (or pedestrian),2006
9,9009631,5259,9009631,90,San Francisco,2013-09-25,08/28/2006 4:39 p.m.,28,0,0,icon-fault,"POLK ST and ELM ST San Francisco, California","{""type"":""Point"",""coordinates"":[-122.41892,37.78172]}",h1,1,icon-hit,16,NO,1,37.7817222,Daylight,-122.4189219,39,8,AUTO,BICYCLIST,Dry,20060828,4:39 p.m.,2013-09-26,Automobile right of way,2006
