"date","auto","bike","other","year_month"
2005-01-01,0,0,0,"2005-01-01"
2005-01-02,0,0,0,"2005-01-01"
2005-01-03,0,0,0,"2005-01-01"
2005-01-04,0,0,0,"2005-01-01"
2005-01-05,0,0,0,"2005-01-01"
2005-01-06,0,0,0,"2005-01-01"
2005-01-07,0,0,0,"2005-01-01"
2005-01-08,1,0,0,"2005-01-01"
2005-01-09,1,0,0,"2005-01-01"
2005-01-10,1,0,0,"2005-01-01"
2005-01-11,1,0,0,"2005-01-01"
2005-01-12,1,0,0,"2005-01-01"
2005-01-13,1,0,0,"2005-01-01"
2005-01-14,1,1,0,"2005-01-01"
2005-01-15,1,1,2,"2005-01-01"
2005-01-16,1,1,2,"2005-01-01"
2005-01-17,2,1,2,"2005-01-01"
2005-01-18,2,1,2,"2005-01-01"
2005-01-19,3,1,2,"2005-01-01"
2005-01-20,3,1,2,"2005-01-01"
2005-01-21,3,3,2,"2005-01-01"
2005-01-22,3,3,2,"2005-01-01"
2005-01-23,3,3,2,"2005-01-01"
2005-01-24,4,3,2,"2005-01-01"
2005-01-25,4,3,2,"2005-01-01"
2005-01-26,4,5,2,"2005-01-01"
2005-01-27,4,5,2,"2005-01-01"
2005-01-28,4,5,2,"2005-01-01"
2005-01-29,4,5,2,"2005-01-01"
2005-01-30,4,5,2,"2005-01-01"
2005-01-31,4,5,2,"2005-01-01"
2005-02-01,0,2,0,"2005-02-01"
2005-02-02,0,3,0,"2005-02-01"
2005-02-03,0,4,0,"2005-02-01"
2005-02-04,1,5,0,"2005-02-01"
2005-02-05,1,6,0,"2005-02-01"
2005-02-06,1,6,0,"2005-02-01"
2005-02-07,1,7,0,"2005-02-01"
2005-02-08,1,7,0,"2005-02-01"
2005-02-09,3,8,0,"2005-02-01"
2005-02-10,3,9,0,"2005-02-01"
2005-02-11,3,11,0,"2005-02-01"
2005-02-12,3,11,0,"2005-02-01"
2005-02-13,4,11,0,"2005-02-01"
2005-02-14,5,11,0,"2005-02-01"
2005-02-15,5,11,0,"2005-02-01"
2005-02-16,5,11,0,"2005-02-01"
2005-02-17,6,13,0,"2005-02-01"
2005-02-18,7,13,0,"2005-02-01"
2005-02-19,7,13,0,"2005-02-01"
2005-02-20,8,13,0,"2005-02-01"
2005-02-21,9,13,0,"2005-02-01"
2005-02-22,10,15,0,"2005-02-01"
2005-02-23,10,15,0,"2005-02-01"
2005-02-24,10,15,0,"2005-02-01"
2005-02-25,10,16,0,"2005-02-01"
2005-02-26,10,16,0,"2005-02-01"
2005-02-27,10,16,0,"2005-02-01"
2005-02-28,11,17,0,"2005-02-01"
2005-03-01,0,0,0,"2005-03-01"
2005-03-02,0,1,1,"2005-03-01"
2005-03-03,1,1,1,"2005-03-01"
2005-03-04,1,2,1,"2005-03-01"
2005-03-05,1,2,1,"2005-03-01"
2005-03-06,1,2,1,"2005-03-01"
2005-03-07,1,3,2,"2005-03-01"
2005-03-08,2,4,2,"2005-03-01"
2005-03-09,3,4,2,"2005-03-01"
2005-03-10,3,4,2,"2005-03-01"
2005-03-11,3,4,2,"2005-03-01"
2005-03-12,4,4,2,"2005-03-01"
2005-03-13,4,5,2,"2005-03-01"
2005-03-14,4,5,2,"2005-03-01"
2005-03-15,5,5,2,"2005-03-01"
2005-03-16,5,5,2,"2005-03-01"
2005-03-17,5,6,2,"2005-03-01"
2005-03-18,5,6,2,"2005-03-01"
2005-03-19,5,6,2,"2005-03-01"
2005-03-20,5,7,2,"2005-03-01"
2005-03-21,5,7,2,"2005-03-01"
2005-03-22,5,7,2,"2005-03-01"
2005-03-23,5,7,2,"2005-03-01"
2005-03-24,5,7,3,"2005-03-01"
2005-03-25,7,7,3,"2005-03-01"
2005-03-26,8,8,3,"2005-03-01"
2005-03-27,8,8,3,"2005-03-01"
2005-03-28,10,8,3,"2005-03-01"
2005-03-29,10,8,3,"2005-03-01"
2005-03-30,10,8,3,"2005-03-01"
2005-03-31,11,8,3,"2005-03-01"
